,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
6848,26302,EPX,Travel Agency,Online,Cancellation Plan,0,13,NEW ZEALAND,10.0,0.0,,36
49487,15949,ART,Airlines,Online,24 Protect,0,1,PHILIPPINES,11.29,3.95,F,48
6339,45704,C2B,Airlines,Online,Bronze Plan,0,47,SINGAPORE,19.2,4.8,F,75
21720,59227,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,80,CHINA,58.0,0.0,,31
47456,30153,C2B,Airlines,Online,Silver Plan,0,17,SINGAPORE,54.5,13.63,F,37
40553,59194,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,AUSTRALIA,118.8,71.28,,43
36563,14061,EPX,Travel Agency,Online,Cancellation Plan,0,9,"TAIWAN, PROVINCE OF CHINA",25.0,0.0,,36
30625,57127,SSI,Airlines,Online,Ticket Protector,0,11,SINGAPORE,0.96,0.27,,48
46174,39009,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,ICELAND,59.4,35.64,,42
28667,27717,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,17,"KOREA, REPUBLIC OF",26.0,0.0,,37
8768,11743,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,THAILAND,31.0,0.0,,46
9161,30682,C2B,Airlines,Online,Bronze Plan,0,177,SINGAPORE,34.5,8.63,M,64
13097,30014,C2B,Airlines,Online,Gold Plan,1,24,SINGAPORE,99.45,24.86,M,38
12944,16380,C2B,Airlines,Online,Bronze Plan,0,0,SINGAPORE,-14.4,3.6,M,49
11659,21610,EPX,Travel Agency,Online,Cancellation Plan,0,251,HONG KONG,15.0,0.0,,36
34772,6614,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,80,PHILIPPINES,41.0,0.0,,36
8667,18033,EPX,Travel Agency,Online,Cancellation Plan,0,105,SWITZERLAND,62.0,0.0,,36
31197,914,RAB,Airlines,Online,Value Plan,0,29,BRUNEI DARUSSALAM,23.0,9.2,M,52
5435,669,EPX,Travel Agency,Online,Cancellation Plan,0,21,MALAYSIA,11.0,0.0,,26
33022,13457,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,CHINA,24.0,0.0,,36
48583,25730,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,CHINA,55.0,0.0,,36
36440,31941,EPX,Travel Agency,Online,Cancellation Plan,0,16,UNITED ARAB EMIRATES,55.0,0.0,,36
29818,55055,EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,10.0,0.0,,36
17631,60862,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,13,POLAND,58.5,38.02,F,31
31323,20676,EPX,Travel Agency,Online,Cancellation Plan,0,17,GEORGIA,26.0,0.0,,56
20985,56752,EPX,Travel Agency,Online,Cancellation Plan,0,6,VIET NAM,12.0,0.0,,36
22122,61347,EPX,Travel Agency,Online,Cancellation Plan,0,20,"TAIWAN, PROVINCE OF CHINA",25.0,0.0,,54
48644,33900,EPX,Travel Agency,Online,Cancellation Plan,0,16,INDONESIA,63.0,0.0,,36
4498,24242,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,55,THAILAND,20.0,0.0,,36
37595,32872,C2B,Airlines,Online,Silver Plan,0,29,SINGAPORE,33.5,8.38,F,75
4094,59806,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,25,SINGAPORE,20.0,0.0,,35
19141,7511,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,UNITED STATES,59.4,35.64,,43
16064,44585,JZI,Airlines,Online,Basic Plan,0,52,INDONESIA,22.0,7.7,F,29
33973,56888,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,41,AUSTRALIA,158.4,95.04,,45
36761,47304,EPX,Travel Agency,Online,Cancellation Plan,0,72,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,,36
34595,34626,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,SINGAPORE,21.0,0.0,,36
206,2739,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,135,AUSTRIA,59.4,35.64,,26
49439,33956,C2B,Airlines,Online,Bronze Plan,0,41,SINGAPORE,23.5,5.88,F,45
43722,48680,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,INDONESIA,24.0,0.0,,36
38094,15074,EPX,Travel Agency,Online,Cancellation Plan,0,84,CHINA,25.0,0.0,,36
49471,16091,EPX,Travel Agency,Online,Cancellation Plan,0,25,CHINA,28.0,0.0,,36
10176,28217,EPX,Travel Agency,Online,Cancellation Plan,0,36,"KOREA, REPUBLIC OF",59.0,0.0,,36
21100,11191,JZI,Airlines,Online,Basic Plan,0,10,HONG KONG,26.0,9.1,M,69
41620,5379,EPX,Travel Agency,Online,Cancellation Plan,0,25,PHILIPPINES,23.0,0.0,,36
39253,19815,EPX,Travel Agency,Online,Cancellation Plan,0,12,VIET NAM,17.0,0.0,,36
39498,50479,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,39,NORWAY,61.0,0.0,,36
15108,20211,EPX,Travel Agency,Online,Cancellation Plan,0,19,UNITED STATES,63.0,0.0,,40
6307,51284,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,UNITED STATES,107.0,0.0,,34
48327,56365,EPX,Travel Agency,Online,Cancellation Plan,0,33,MYANMAR,11.0,0.0,,36
33611,5663,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,62,"KOREA, REPUBLIC OF",61.0,0.0,,36
39956,56200,EPX,Travel Agency,Online,Cancellation Plan,0,12,INDONESIA,10.0,0.0,,32
17266,25876,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,30,ITALY,0.0,23.76,,40
2994,2578,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,74,PHILIPPINES,20.0,0.0,,38
48438,11052,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,65,UNITED ARAB EMIRATES,48.0,0.0,,36
39206,54140,JWT,Airlines,Online,Value Plan,0,212,INDIA,50.0,20.0,F,118
27958,3967,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,SAUDI ARABIA,35.0,0.0,,36
29364,28981,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,27,INDONESIA,20.0,0.0,,36
8297,41923,EPX,Travel Agency,Online,Cancellation Plan,0,67,HONG KONG,16.0,0.0,,36
28017,11649,JZI,Airlines,Online,Basic Plan,0,9,PHILIPPINES,22.0,7.7,M,45
8106,13952,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,23,AUSTRALIA,49.5,29.7,,58
16916,17263,JZI,Airlines,Online,Basic Plan,0,14,PHILIPPINES,30.0,10.5,F,30
23932,10607,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,95,ICELAND,138.6,83.16,,59
9442,27740,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,133,ICELAND,59.4,35.64,,53
18346,47934,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,8,UNITED KINGDOM,28.0,0.0,,36
48648,23530,JZI,Airlines,Online,Basic Plan,0,5,PHILIPPINES,18.0,6.3,F,40
3342,17212,EPX,Travel Agency,Online,Cancellation Plan,0,39,THAILAND,11.0,0.0,,28
18219,36859,EPX,Travel Agency,Online,Cancellation Plan,0,139,MALAYSIA,10.0,0.0,,31
22963,47670,EPX,Travel Agency,Online,Cancellation Plan,0,7,THAILAND,23.0,0.0,,47
20006,51480,C2B,Airlines,Online,Bronze Plan,1,115,SINGAPORE,33.5,8.38,F,35
2005,6976,EPX,Travel Agency,Online,Cancellation Plan,0,62,SINGAPORE,63.0,0.0,,36
33975,40260,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,50,SOUTH AFRICA,29.7,17.82,,31
34290,22117,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,SINGAPORE,60.0,0.0,,36
41901,40725,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,7,MYANMAR,20.0,0.0,,36
48016,5147,JZI,Airlines,Online,Basic Plan,0,18,HONG KONG,26.0,9.1,M,25
31768,52144,EPX,Travel Agency,Online,Cancellation Plan,0,38,SINGAPORE,-26.0,0.0,,36
48983,19174,JZI,Airlines,Online,Basic Plan,0,13,HONG KONG,0.0,9.1,F,64
37056,7301,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,CHINA,38.0,0.0,,36
48540,15422,EPX,Travel Agency,Online,Cancellation Plan,0,32,UNITED STATES,11.0,0.0,,44
10036,60831,EPX,Travel Agency,Online,Cancellation Plan,0,82,"TAIWAN, PROVINCE OF CHINA",13.0,0.0,,25
14853,46418,EPX,Travel Agency,Online,Cancellation Plan,0,19,INDIA,10.0,0.0,,52
11074,61258,C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,0.0,48.3,M,30
4446,13386,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,7,CHINA,24.0,0.0,,36
47574,26582,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,HONG KONG,33.0,0.0,,56
33155,45269,EPX,Travel Agency,Online,Cancellation Plan,0,88,CHINA,17.0,0.0,,36
7479,53618,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,THAILAND,19.8,11.88,,37
5625,45986,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,192,AUSTRALIA,-79.2,47.52,,31
2408,48668,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,81,JAPAN,99.0,59.4,,45
21399,10058,EPX,Travel Agency,Online,Cancellation Plan,0,31,UNITED KINGDOM,80.0,0.0,,36
41570,40752,JZI,Airlines,Online,Basic Plan,0,5,THAILAND,22.0,7.7,M,51
16564,49867,RAB,Airlines,Online,Value Plan,0,60,BRUNEI DARUSSALAM,15.0,6.0,M,73
36351,7240,JZI,Airlines,Online,Basic Plan,0,10,MALAYSIA,18.0,6.3,M,73
6659,45235,EPX,Travel Agency,Online,Cancellation Plan,0,10,INDONESIA,10.0,0.0,,36
44278,58413,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,AUSTRALIA,39.6,23.76,,42
7802,56168,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,SINGAPORE,36.0,0.0,,36
5252,25574,EPX,Travel Agency,Online,Cancellation Plan,0,42,TURKEY,31.0,0.0,,36
18105,58534,C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,16.0,4.0,F,21
18594,56193,EPX,Travel Agency,Online,Cancellation Plan,0,11,UNITED STATES,50.0,0.0,,26
32758,2656,EPX,Travel Agency,Online,Cancellation Plan,0,24,INDIA,19.0,0.0,,36
11500,11892,JZI,Airlines,Online,Basic Plan,0,63,CHINA,63.0,22.05,F,35
44668,49170,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,16.0,4.0,F,36
1390,36854,EPX,Travel Agency,Online,Cancellation Plan,0,55,VIET NAM,11.0,0.0,,36
18295,35099,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,42,UNITED KINGDOM,69.3,41.58,,34
32218,62159,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,INDONESIA,20.0,0.0,,87
36507,3494,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,"TAIWAN, PROVINCE OF CHINA",42.0,0.0,,36
23325,51768,EPX,Travel Agency,Online,Cancellation Plan,0,9,CHINA,22.0,0.0,,36
21807,16823,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,NETHERLANDS,63.0,0.0,,36
20636,6453,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,65,JAPAN,83.0,0.0,,36
47762,14637,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,INDIA,35.0,0.0,,36
11961,12887,EPX,Travel Agency,Online,Cancellation Plan,0,26,HONG KONG,12.0,0.0,,49
10560,33241,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,2,MALAYSIA,0.0,11.88,,49
48030,45908,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,,40
20024,25375,EPX,Travel Agency,Online,Cancellation Plan,0,3,RUSSIAN FEDERATION,10.0,0.0,,36
37460,631,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,MALAYSIA,20.0,0.0,,36
11862,52083,TST,Travel Agency,Offline,Travel Cruise Protect,0,17,MALAYSIA,30.0,10.5,M,27
29306,50600,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,HONG KONG,28.0,0.0,,36
43650,9136,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,101,PHILIPPINES,20.0,0.0,,36
17116,6869,C2B,Airlines,Online,Bronze Plan,0,70,SINGAPORE,18.9,4.72,F,56
25586,37032,EPX,Travel Agency,Online,Cancellation Plan,0,54,UNITED STATES,128.0,0.0,,41
6076,16291,EPX,Travel Agency,Online,Cancellation Plan,0,5,VIET NAM,12.0,0.0,,36
959,8108,JZI,Airlines,Online,Basic Plan,0,2,INDONESIA,18.0,6.3,F,44
9408,45172,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,SOUTH AFRICA,49.5,29.7,,33
22841,37360,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,7,PHILIPPINES,61.0,0.0,,36
11726,10866,EPX,Travel Agency,Online,Cancellation Plan,0,87,UNITED STATES,80.0,0.0,,24
15059,24008,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,53,JAPAN,20.0,0.0,,24
41865,21261,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,JAPAN,20.0,0.0,,34
21907,12640,EPX,Travel Agency,Online,Cancellation Plan,0,155,CANADA,80.0,0.0,,29
13806,27197,EPX,Travel Agency,Online,Cancellation Plan,0,88,SINGAPORE,45.0,0.0,,36
22844,18552,ART,Airlines,Online,Value Plan,0,18,PHILIPPINES,34.0,11.9,M,118
37396,3083,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,52,SINGAPORE,20.0,0.0,,49
37178,9180,EPX,Travel Agency,Online,Cancellation Plan,0,25,RUSSIAN FEDERATION,34.0,0.0,,36
14483,601,C2B,Airlines,Online,Silver Plan,1,16,SINGAPORE,74.25,18.56,M,27
37597,22782,EPX,Travel Agency,Online,Cancellation Plan,0,3,JAPAN,19.0,0.0,,36
1232,57680,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,38,SINGAPORE,20.0,0.0,,36
20294,7551,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,25.0,0.0,,33
2592,62324,EPX,Travel Agency,Online,Cancellation Plan,0,2,CHINA,16.0,0.0,,35
21811,47904,EPX,Travel Agency,Online,Cancellation Plan,0,14,INDONESIA,15.0,0.0,,21
38703,55853,EPX,Travel Agency,Online,Cancellation Plan,0,61,PHILIPPINES,10.0,0.0,,47
19585,16309,EPX,Travel Agency,Online,Cancellation Plan,0,6,SINGAPORE,16.0,0.0,,42
14430,47155,TST,Travel Agency,Offline,Travel Cruise Protect,0,78,MALAYSIA,30.0,10.5,M,33
40713,29239,C2B,Airlines,Online,Bronze Plan,0,13,SINGAPORE,13.5,3.38,F,36
13959,53685,EPX,Travel Agency,Online,Cancellation Plan,0,19,VIET NAM,12.0,0.0,,36
17007,52207,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,MALAYSIA,29.7,17.82,,49
46400,16165,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,107,DENMARK,247.5,148.5,,48
49551,63034,EPX,Travel Agency,Online,Cancellation Plan,0,2,INDIA,11.0,0.0,,35
18758,21227,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,INDONESIA,34.0,0.0,,36
6373,34038,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,HONG KONG,26.0,0.0,,36
19677,54831,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,CAMBODIA,26.0,0.0,,36
4026,36722,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,62,FRANCE,67.0,43.55,M,62
4121,41725,EPX,Travel Agency,Online,Cancellation Plan,0,97,UNITED STATES,10.0,0.0,,31
18144,48264,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,THAILAND,49.5,29.7,,33
5182,2691,RAB,Airlines,Online,Value Plan,0,3,BRUNEI DARUSSALAM,15.0,6.0,M,32
6669,58157,JZI,Airlines,Online,Basic Plan,0,2,CHINA,22.0,7.7,M,36
32351,43356,JZI,Airlines,Online,Value Plan,0,36,CHINA,109.0,38.15,M,70
9326,17349,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,74,INDONESIA,20.0,0.0,,33
19675,21426,JZI,Airlines,Online,Basic Plan,0,35,HONG KONG,26.0,9.1,M,70
8586,15848,EPX,Travel Agency,Online,Cancellation Plan,0,4,SINGAPORE,13.0,0.0,,36
14808,16282,EPX,Travel Agency,Online,Cancellation Plan,0,38,UNITED KINGDOM,79.0,0.0,,36
16650,4208,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,JAPAN,48.0,0.0,,36
15696,1556,JZI,Airlines,Online,Basic Plan,0,48,CHINA,40.0,14.0,F,50
35127,21144,JZI,Airlines,Online,Basic Plan,0,36,CHINA,35.0,12.25,M,48
44168,38243,SSI,Airlines,Online,Ticket Protector,0,2,SINGAPORE,5.92,1.66,,48
27495,24001,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,AUSTRALIA,68.0,0.0,,36
12562,10595,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,AUSTRALIA,99.0,59.4,,50
45474,25911,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,AUSTRALIA,29.7,17.82,,36
35261,35576,EPX,Travel Agency,Online,Cancellation Plan,0,66,UNITED STATES,80.0,0.0,,49
23032,8397,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,20.0,0.0,,61
4332,49582,C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,21.0,5.25,M,24
6087,5245,EPX,Travel Agency,Online,Cancellation Plan,0,13,SINGAPORE,10.0,0.0,,22
3522,13562,JZI,Airlines,Online,Basic Plan,0,16,MALAYSIA,22.0,7.7,M,58
31527,19447,EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,14.0,0.0,,36
11788,40602,JZI,Airlines,Online,Basic Plan,0,33,CHINA,-26.0,9.1,M,72
2922,55590,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,33,AUSTRALIA,69.3,41.58,,67
45524,17387,EPX,Travel Agency,Online,Cancellation Plan,0,74,PHILIPPINES,10.0,0.0,,51
9907,27486,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,SINGAPORE,71.0,0.0,,36
37185,33699,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,UNITED STATES,112.0,0.0,,59
3938,4705,JZI,Airlines,Online,Basic Plan,0,83,JAPAN,35.0,12.25,M,48
23142,5904,EPX,Travel Agency,Online,Cancellation Plan,0,5,VIET NAM,24.0,0.0,,36
35292,37419,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,INDONESIA,20.0,0.0,,36
41881,39196,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,207,ICELAND,-79.2,47.52,,28
39638,25765,EPX,Travel Agency,Online,Cancellation Plan,0,20,PHILIPPINES,11.0,0.0,,36
14902,52456,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,95,THAILAND,20.0,0.0,,36
8693,26968,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,JAPAN,47.0,0.0,,40
27643,49540,JWT,Airlines,Online,Value Plan,0,11,INDIA,50.0,20.0,F,118
45367,56947,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,,36
41053,15988,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,78,CANADA,109.0,0.0,,27
18630,25021,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,46,"KOREA, REPUBLIC OF",26.0,0.0,,27
29085,22772,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,CHINA,38.0,0.0,,36
28184,21150,JZI,Airlines,Online,Basic Plan,0,3,INDONESIA,18.0,6.3,F,28
16538,7713,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,INDONESIA,20.0,0.0,,36
31073,11660,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,52,FRANCE,69.3,41.58,,28
41168,23255,EPX,Travel Agency,Online,Cancellation Plan,0,2,THAILAND,10.0,0.0,,24
40921,10788,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,INDONESIA,20.0,0.0,,27
2767,48125,EPX,Travel Agency,Online,Cancellation Plan,0,45,MALAYSIA,24.0,0.0,,45
6062,44758,C2B,Airlines,Online,Annual Silver Plan,0,364,SINGAPORE,193.2,48.3,F,21
33950,51871,C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,216.0,54.0,F,55
19035,10977,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,36,"KOREA, REPUBLIC OF",29.7,17.82,,34
32678,56910,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,INDONESIA,0.0,0.0,,22
25154,10089,EPX,Travel Agency,Online,Cancellation Plan,0,16,"VIRGIN ISLANDS, U.S.",80.0,0.0,,52
35744,4962,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,"TAIWAN, PROVINCE OF CHINA",24.0,0.0,,36
8492,7238,JZI,Airlines,Online,Basic Plan,0,61,HONG KONG,26.0,9.1,M,42
29880,38807,C2B,Airlines,Online,Gold Plan,0,34,SINGAPORE,49.0,12.25,F,34
14469,17674,EPX,Travel Agency,Online,Cancellation Plan,0,10,THAILAND,36.0,0.0,,59
30432,43680,C2B,Airlines,Online,Silver Plan,0,40,SINGAPORE,39.0,9.75,M,61
49342,29627,C2B,Airlines,Online,Silver Plan,0,42,SINGAPORE,130.65,32.66,M,41
13298,13730,C2B,Airlines,Online,Silver Plan,0,238,SINGAPORE,27.75,6.94,M,43
48845,28969,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,213,UNITED KINGDOM,86.0,0.0,,36
37578,41592,JZI,Airlines,Online,Basic Plan,0,10,INDONESIA,22.0,7.7,M,39
25777,46957,C2B,Airlines,Online,Annual Gold Plan,0,387,SINGAPORE,239.5,59.88,F,47
45497,36760,C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,11.5,2.88,M,30
16320,23924,JZI,Airlines,Online,Basic Plan,0,22,INDIA,35.0,12.25,F,52
40318,32973,EPX,Travel Agency,Online,Cancellation Plan,0,112,HONG KONG,13.0,0.0,,36
22788,15596,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,THAILAND,50.0,0.0,,36
39316,48242,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,3,MALAYSIA,19.8,11.88,,31
17696,58179,JZI,Airlines,Online,Value Plan,0,42,QATAR,0.0,52.15,F,35
31974,40813,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,PHILIPPINES,38.0,0.0,,62
49204,15112,C2B,Airlines,Online,Bronze Plan,0,46,SINGAPORE,92.25,23.06,M,26
20784,4156,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,14,"KOREA, REPUBLIC OF",21.0,0.0,,36
34421,28350,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,UNITED STATES,39.6,23.76,,40
5025,527,EPX,Travel Agency,Online,Cancellation Plan,0,6,SINGAPORE,16.0,0.0,,45
35393,19104,EPX,Travel Agency,Online,Cancellation Plan,0,32,"TAIWAN, PROVINCE OF CHINA",26.0,0.0,,36
29077,33546,JZI,Airlines,Online,Basic Plan,0,23,THAILAND,22.0,7.7,M,42
40451,56138,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,F,43
48508,2235,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,62,MALAYSIA,19.8,11.88,,41
37087,2331,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,8,UNITED KINGDOM,32.0,0.0,,36
14238,29385,RAB,Airlines,Online,Value Plan,0,5,BRUNEI DARUSSALAM,15.0,6.0,M,36
40651,52816,C2B,Airlines,Online,Silver Plan,0,30,SINGAPORE,58.2,14.55,F,57
20011,8302,JZI,Airlines,Online,Basic Plan,0,34,THAILAND,22.0,7.7,M,35
14021,4740,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,ITALY,-69.3,41.58,,28
44775,9484,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,70,AUSTRALIA,79.2,47.52,,29
12947,32938,EPX,Travel Agency,Online,Cancellation Plan,0,10,INDONESIA,24.0,0.0,,36
20541,38824,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,56,ITALY,49.5,29.7,,30
44684,49448,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,NEW ZEALAND,101.0,0.0,,36
47826,21383,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,11,MALAYSIA,20.0,0.0,,36
3778,50639,EPX,Travel Agency,Online,Cancellation Plan,0,9,UNITED STATES,63.0,0.0,,29
44626,32632,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,186,VIET NAM,23.0,0.0,,36
13997,49493,EPX,Travel Agency,Online,Cancellation Plan,0,31,LAO PEOPLE'S DEMOCRATIC REPUBLIC,13.0,0.0,,36
43182,60697,EPX,Travel Agency,Online,Cancellation Plan,0,99,CHINA,20.0,0.0,,69
42951,51573,EPX,Travel Agency,Online,Cancellation Plan,0,64,UNITED STATES,80.0,0.0,,50
638,51331,C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,21.0,5.25,M,27
46086,46880,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,MEXICO,64.0,0.0,,45
15863,17724,SSI,Airlines,Online,Ticket Protector,0,15,SINGAPORE,2.55,0.71,,48
4899,37053,EPX,Travel Agency,Online,Cancellation Plan,0,8,THAILAND,17.0,0.0,,36
25894,25292,C2B,Airlines,Online,Annual Silver Plan,0,370,SINGAPORE,252.85,63.21,F,51
31923,24890,EPX,Travel Agency,Online,Cancellation Plan,0,5,INDIA,10.0,0.0,,36
4175,51389,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,67,MYANMAR,20.0,0.0,,36
36127,17527,JZI,Airlines,Online,Basic Plan,0,48,HONG KONG,26.0,9.1,M,48
45880,37693,EPX,Travel Agency,Online,Cancellation Plan,0,38,VIET NAM,10.0,0.0,,25
13939,39797,EPX,Travel Agency,Online,Cancellation Plan,0,48,AUSTRALIA,31.0,0.0,,36
49844,30252,EPX,Travel Agency,Online,Cancellation Plan,0,23,INDIA,20.0,0.0,,36
23978,59267,EPX,Travel Agency,Online,Cancellation Plan,0,12,INDIA,27.0,0.0,,35
47281,309,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,SRI LANKA,39.0,0.0,,36
23065,7275,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,AUSTRALIA,49.5,29.7,,31
27992,28616,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,76,PHILIPPINES,20.0,0.0,,36
17890,30164,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,UNITED KINGDOM,39.6,23.76,,49
22360,2168,EPX,Travel Agency,Online,Cancellation Plan,0,58,UNITED KINGDOM,69.0,0.0,,36
22707,24494,EPX,Travel Agency,Online,Cancellation Plan,0,11,HONG KONG,22.0,0.0,,36
34233,25413,EPX,Travel Agency,Online,Cancellation Plan,0,11,MALAYSIA,10.0,0.0,,36
6794,59568,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,67,MALAYSIA,29.7,17.82,,51
40426,51078,EPX,Travel Agency,Online,Cancellation Plan,0,11,CHINA,26.0,0.0,,36
